Powiat/Miasto_na_prawach_powiatu 2014 2015 2016 2017
bytowski 56 60 53 55
chojnicki 56 62 53 55
cz³uchowski 53 57 49 51
gdañski 56 62 54 56
kartuski 56 61 54 56
koœcierski 57 63 54 59
kwidzyñski 58 61 54 56
lêborski 57 60 51 56
Gdañsk 62 67 59 64
Gdynia 62 68 61 64
S³upsk 58 62 56 59
Sopot 64 68 62 68
malborski 57 62 54 56
nowodworski 56 62 55 55
pucki 54 60 52 54
s³upski 54 60 51 53
starogardzki 57 61 52 55
sztumski 55 61 51 54
tczewski 56 59 51 52
wejherowski 56 62 53 56
