Powiat/Miasto_na_prawach_powiatu 2014 2015 2016 2017
bytowski 60 57 63 66
chojnicki 64 61 64 68
cz³uchowski 60 56 59 64
gdañski 63 60 67 68
kartuski 63 58 66 67
koœcierski 64 61 68 68
kwidzyñski 66 59 70 66
lêborski 64 56 61 65
Gdañsk 68 64 71 74
Gdynia 70 65 73 74
S³upsk 64 60 69 69
Sopot 71 64 73 76
malborski 61 58 66 69
nowodworski 62 61 68 65
pucki 60 57 63 64
s³upski 60 59 62 65
starogardzki 62 58 64 65
sztumski 59 55 60 62
tczewski 60 57 62 63
wejherowski 62 60 67 66
