Powiat/Miasto_na_prawach_powiatu 2014 2015 2016 2017
bytowski 15 16 16 20
chojnicki 14 15 16 19
cz³uchowski 17 15 16 20
gdañski 16 17 17 21
kartuski 15 16 16 19
koœcierski 15 16 16 20 
kwidzyñski 15 16 16 20
lêborski 16 17 17 21
Gdañsk 16 17 19 21
Gdynia 16 16 19 21
S³upsk 17 18  18 21
Sopot 15 16 19 19
malborski 16 16 18 20
nowodworski 15 16 17 19
pucki 15 16 16 19
s³upski 15 16 16 19
starogardzki 16 17 17 20
sztumski 16 16 17 21
tczewski 16 16 17 20
wejherowski 15 16 17 20
