Powiat/Miasto_na_prawach_powiatu 2014 2015 2016 2017
bytowski 19 17 20 20
chojnicki 18 15 19 19
cz³uchowski 20 17 23 23
gdañski 18 16 21 21
kartuski 17 16 20 19
koœcierski 16 16 19 18
kwidzyñski 18 17 19 19
lêborski 19 18 22 20
Gdañsk 17 17 21 19
Gdynia 16 16 20 19
S³upsk 20 19 24 22
Sopot 15 16 19 17
malborski 18 16 20 19
nowodworski 18 16 19 18
pucki 17 16 21 20
s³upski 19 16 20 19
starogardzki 18 17 22 20
sztumski 19 16 21 20
tczewski 20 18 23 22
wejherowski 18 17 21 20
