Powiat/Miasto_na_prawach_powiatu 2014 2015 2016 2017
bytowski 43 44 46 44
chojnicki 45 48 46 44
cz³uchowski 39 41 40 39
gdañski 44 48 47 45
kartuski 48 48 47 46
koœcierski 47 49 49 49
kwidzyñski 50 49 52 49
lêborski 45 44 41 43
Gdañsk 53 53 54 54
Gdynia 56 57 58 57
S³upsk 45 46 49 44
Sopot 59 58 59 60
malborski 42 44 42 42
nowodworski 43 44 46 40
pucki 40 44 44 42
s³upski 40 44 42 39
starogardzki 44 45 44 42
sztumski 40 43 41 39
tczewski 44 44 43 43
wejherowski 45 48 46 45
